序号,岗位类别,岗位名称,薪酬,地点,学历要求,经验要求,企业名称,企业规模,所属地域,所属行业,岗位职责,岗位要求
11,数据分析工程师,销售数据分析专员 - 强生安视优,8-15k·13薪,上海-徐汇区,1-3年-本科,1-3年-本科,强生(中国)投资有限公司,制药-10000人以上,上海-徐汇区,制药-10000人以上,,
12,数据分析工程师,自动驾驶测试工程师-数据场景,17-30k·14薪,北京,1-3年-统招本科-Python-人工智能领域-汽车领域-ADAS-数据场景-自动驾驶,1-3年-统招本科-Python-人工智能领域-汽车领域-ADAS-数据场景-自动驾驶,某大型知名人工智能公司,人工智能-C轮-500-999人,北京,人工智能-C轮-500-999人,,
13,数据分析工程师,数据分析,35-50k·14薪,上海,5-10年-统招本科,5-10年-统招本科,知名O2O企业,法律服务-1000-2000人,上海,法律服务-1000-2000人,,
14,数据分析工程师,数据测试开发工程师,8-15k,厦门-思明区,3-5年-本科-银行业务-大数据测试-证券业-保险业-信托公司-数仓开发,3-5年-本科-银行业务-大数据测试-证券业-保险业-信托公司-数仓开发,腾星云,计算机软件-1-49人,厦门-思明区,计算机软件-1-49人,"岗位职责：
1. 负责大数据相关系统及项目的测试工作，保障数据质量，预防质量风险；
2. 参与需求评审、设计评审等活动，设计测试方案和测试用例；
3. 设计及开发自动化测试脚本或者测试工具，完成数据加工逻辑的验证等工作；
4. 不断探索和尝试数据质量的各类测试方法，不断提升测试效率；
5. 能和团队密切配合，发现、定位并跟踪问题，推动问题及时合理地解决；
","任职要求：
1、全日制本科及以上学历，计算机相关专业；
2、掌握测试理论、测试方法，熟练使用测试工具；具备大数据测试、测试案例设计、测试报告编制、测试问题分析能力；
3、有2年以上金融行业数据测试，数据仓库，BI报表测试经验，有数仓开发经验者优先；
4、熟练掌握sql语言；
5、良好的沟通表达能力，逻辑思维清晰，有较强的团队协作意识，踏实肯干；
完成上级交代的其他工作。"
15,数据分析工程师,数据运营支持,8-12k,南通-崇川区,1-3年-本科-数据分析-用户运营,1-3年-本科-数据分析-用户运营,镁信健康,互联网-C轮-500-999人,南通-崇川区,互联网-C轮-500-999人,"工作职责
1．	撰写数据管理计划、撰写数据核查计划；
2．	负责客户服务运营部所有数据核查、清洗、跟踪等工作；
3．	负责客户服务运营部指标、产能、品质等模块的数据报表产出及分析工作，产出数据分析报告；
4．	负责部门报表梳理及优化的工作；
5．	上午时段分担一部分现场管理的职能；
6．	完成领导交代的其他工作。

","任职资格
1．	有2年以上数据管理相关工作经验；
2．	本科以上学历；
3．	精通EXCEL，有敏锐的数据分析能力，善于通过数据发现业务的问题，有数据库方面经验优先；
4．	工作认真有耐心、责任心强；
5．	具备良好的业务理解能力和沟通能力，能同时对接业务管理后台及客服中心前台的各项数据工作。"
16,数据分析工程师,数据分析,30-45k,上海-浦东新区,5-10年-统招本科-银行零售业务-银行背景-SQL-数据中台-数据挖掘-大数据平台搭建-风控体系搭建,5-10年-统招本科-银行零售业务-银行背景-SQL-数据中台-数据挖掘-大数据平台搭建-风控体系搭建,某银行旗下科技公司 ,银行-5000-10000人,上海-浦东新区,银行-5000-10000人,"职责描述：
1、负责规划数据分析工作体系，推动与业务部门合作开展专题分析，为业务发展提供决策依据；
2、负责与部门其他团队、业务部门的工作协调，推动数据需求、分析工作的有序、有效开展；
3、负责推动团队、业务部门人员大数据分析思维方式的落地及强化，提升人员使用数据分析解决业务问题的能力；
4、负责团队内部管理工作，团队人员培养、分配团队成员数据需求工作，并规划工作方式的改进及优化。
","任职要求：
1、熟练使用SQL，熟悉数据库技术，熟练使用SAS\SPSS\Python等数据分析工具，有算法和技术背景优先；
2、有数据清理工作、银行、金融行业数据分析实战经验的优先；
3、团队管理能力、项目管理能力，金融业务知识。"
17,数据分析工程师,大数据测试工程师,17-21k,上海-浦东新区,5-10年-本科-数据测试,5-10年-本科-数据测试,京北方信息,互联网-其他股票市场上市-10000人以上,上海-浦东新区,互联网-其他股票市场上市-10000人以上,,
18,数据分析工程师,数据分析专家,30-40k,北京-丰台区,5-10年-硕士-数据分析-机器学习-深度学习-金融风控-写作,5-10年-硕士-数据分析-机器学习-深度学习-金融风控-写作,中国人民银行金融科技研究院,科技金融-100-499人,北京-丰台区,科技金融-100-499人,"1.负责相关算法研发和优化工作，并采用机器学习等算法发现风险交易模式。
2.负责构建相关数据评估指标体系，并推进指标体系落地。
3.负责撰写数据分析专题报告，并可通过数据分析，发现业务的关键问题和内在联系，为决策提供合理化建议。

","任职要求：
1.硕士及以上学历。计算机或数据分析专业优先。
2.精通机器学习和深度学习，有相关论文经验或者实践经验者优先。具有银行风控、公安侦查等用户行为分析经验者优先。
3.具有优秀的文字功底，具备公文写作经验的优先。
4.对数据敏感，具备较强的数据分析、逻辑思考、沟通协调和问题解决能力，能承受高强度工作压力，具备高度责任心。

*优秀者薪资有上浮空间"
19,数据分析工程师,高级数据分析师-数据挖掘岗(009141),薪资面议,深圳-福田区,3-5年-本科-数据分析-数据建模-数据挖掘-数据可视化-Hive-IT/信息化领域-k-means-关联分析-SQL-Python,3-5年-本科-数据分析-数据建模-数据挖掘-数据可视化-Hive-IT/信息化领域-k-means-关联分析-SQL-Python,中信银行信用卡中心,银行-5000-10000人,深圳-福田区,银行-5000-10000人,"职责描述:
1、基于对行业和公司的业务理解，从数据和业务结合的角度进行专项业务数据分析和诊断，输出符合业务诉求的数据模型和增长策略，驱动业务模式增长，支持战略决策；
2、负责业务机会挖掘，在渠道获客、客户经营、产品营销和风险决策等主要经营场景挖掘业务增长点，产出业务策略并推动跨部门业务协作和落地；
3、独立承担分析任务，运用数据分析方法和技术，实施深度数据挖掘，并能沉淀关键分析思路；通过数据分析分解业务目标、建立各阶段的业务模型和多维指标体系，分解归因，产出数据分析报告，提升团队的数据化和智能化程度，加速业务数字化转型；
4、通过业务专题分析模式，对业务问题进行深入拆解分析，与相关团队协作进行数据建模工作，并沉淀分析思路和框架，为业务和技术团队决策提供数据支持；
5、数据分析相关项目管理工作，负责大型数据分析项目方案制定、项目实施落地及优化等。
","任职要求:
1、本科及以上学历，计算机科学与技术、信息管理与信息系统。数据科学与大数据技术、统计学、数学与应用数学、金融数学、金融工程、人工智能等相关专业毕业优先；					
2、3年以上数据分析、数据挖掘工作经验；					
3、具备良好的编程能力，掌握python、SQL/Hive和数据库操作，熟悉数据挖掘常用算法（如分类、回归、聚类、关联规则等）及其原理，了解数据可视化工具，有Hadoop、Spark等平台的海量数据处理经验者优先	；				
4、具备较强的数据敏感性、分析总结能力，掌握常用的数据分析方法和数据挖掘模型，基于数据洞察和问题定位，结合业务理解和业务需求完成数据建模分析，具备良好的文字表达能力者优先；					
5、具备跨领域学习能力，有出色的业务洞察力、逻辑思维能力、交流沟通能力，自我驱动，交付能力强，有强烈的责任感和团队协作意识和能力。"
20,数据分析工程师,商业分析专家（老客营销方向）,20-35k·15薪,上海,3-5年-统招本科-数据分析-市场数据分析-SQL,3-5年-统招本科-数据分析-市场数据分析-SQL,信也科技,科技金融-已上市-5000-10000人,上海,科技金融-已上市-5000-10000人,"工作内容：
1、建立和完善日常运营及管理所需的基础数据报表，并对重要数据指标建立有效的监控体系，以确保常规业务平稳运营；
2、数据驱动业务，挖掘部门内产品流程/服务标准的可优化点，建立有效的商业分析方法，提出业务优化策略；
3、与业务团队紧密合作，推进各类项目策略制定、结果分析与计划改善，推进部门整体运营效率的提升；
4、能够从用户的角度思考问题，通过用户研究与数据分析，找出用户痛点及制定对应的解决方案, 推动并完善用户体验；
5、协调平台，业务，产品，风险，研发等各部门资源，跨团队协作开展各类项目，促进产品/用户运营指标的完成。

","任职资格：
1、本科及以上学历，数学、统计学等相关专业优先，知名院校背景优先；
2、熟练使用 SQL, Excel, Powerpoint；有项目或数据建模经验，Python 或者 R 是加分项;
3、具备较高的数据逻辑和数据敏感性，有较强的数据及用户行为分析能力，在互联网/金融/咨询行业有 2 年以上数据分析经验者优先;
4、具备良好沟通能力，学习能力，和团队协作精神、具备积极解决各种难题的能力、能快速熟悉业务场景，拥有以数据驱动业务的能力;
5、有强烈的学习和提高欲望，有创新和冒险精神，渴望在快节奏的创业公司提升自己，创造价值。
"
21,数据分析工程师, 数据分析专员 Data analysis specialist(三方合同),10-15k·13薪,上海-虹口区,1-3年-本科-数据分析-大数据领域,1-3年-本科-数据分析-大数据领域,沃尔沃汽车中国,整车制造-10000人以上,上海-虹口区,整车制造-10000人以上,"职责描述：
1. 销售目标跟踪   
2. 销售漏斗管理   
3. 过程指标跟踪管理   
4. 临时取数分析   
5. 离线数据维护   　    　    　    　    　    　
6. 区域&DTS问题答疑 　    　    　    　    　    　
7. 报表&报告整理

","任职要求：
1.	3年左右汽车行业数据分析、报表管理经验
2.	踏实、肯干、抗压性强
3.	认真、仔细、学习力强
"
22,数据分析工程师,数据迁移工程师（出差）-HD4,10-21k,上海-浦东新区,3-5年-大专-软件测试-LoadRunner,3-5年-大专-软件测试-LoadRunner,捷科智诚,计算机软件-2000-5000人,上海-浦东新区,计算机软件-2000-5000人,"本岗位上班在唐山，提供住宿（若是出差，提供差补1500/月）。
","岗位要求：
1：大学专科或以上学历，3年以上软件开发或测试工作经验，熟悉接口工具loadrunner 优先；
2：熟悉常用测试策略及测试方法，掌握大部分软件测试工具；
3：熟悉SQL、Oeacle、DB2等常见数据库，有至少1个数据迁移项目经验；
4：有银行新核心项目、金融类项目数据测试经验优先考虑。
岗位职责：
负责银行新核心项目数据迁移测试工作。"
23,数据分析工程师,数据分析,25-40k·16薪,上海-宝山区,3-5年-本科-数据分析-数据开发-数据可视化-SQL-Python-Matlab-SAS-SPSS,3-5年-本科-数据分析-数据开发-数据可视化-SQL-Python-Matlab-SAS-SPSS,京东商城,互联网-已上市-10000人以上,上海-宝山区,互联网-已上市-10000人以上,,
24,数据分析工程师,大数据测试工程师,16-17k,成都-锦江区,5-10年-大专-自动化测试,5-10年-大专-自动化测试,深圳建广数字科技有限公司,计算机软件-1000-2000人,成都-锦江区,计算机软件-1000-2000人,,
25,数据分析工程师,无畏契约数据分析,25-50k·16薪,深圳-南山区,3-5年-统招本科-游戏数据分析师-技术BI-游戏运营数据,3-5年-统招本科-游戏数据分析师-技术BI-游戏运营数据,腾讯,互联网-已上市-10000人以上,深圳-南山区,互联网-已上市-10000人以上,"岗位职责
1.负责游戏筹备期的数据分析体系搭建，包括TLOG埋点、日志上报、分析系统规划等工作；
2.负责游戏各节点的效果分析，包括留存及流失分析，玩法模式分析，系统使用情况分析等，并能依据数据表现提出合理建议，为后续调优提供依据；
3.协助进行数据提取工作，在团队内建立高效敏捷的数据共享机制；
4.定期进行商业化、活动、用户流失等专题分析，结合竞品表现为运营计划提供理论方法支撑；
5.结合已有数据积累建立预估模型，为游戏数据表现以及市场分析提供结果预测；
6.持续探索分析工具的使用以及开发，优化数据分析流程以及效率。
","岗位要求
1.本科以上学历，3年以上游戏行业相关工作经验，擅长从数据角度进行深入挖掘研究；
2.对数据敏感，具备较强的逻辑思维和数据分析能力；
3.具备技术BI工作经验、专业的数据挖掘技能者优先，或相关专业者优先（统计、数学等），熟练运用SQL/MYSQL/ORACEL等主流数据库，至少熟练掌握一种查询工具（SQL、hive）和分析工具（SPSS、R语言、SAS等）；
4.掌握游戏运营数据和渠道运营数据指标的分析思路，有一定的数据分析案例的产出经验；
5.沟通能力强，具备优秀的自我驱动力、学习能力、团队协作能力及跨部门协作推动力，具备创新精神并愿意接受挑战；
6.热爱游戏，对射击品类产品玩法及各系统模块具有一定了解者优先；
7.英语沟通能力优秀者可适当降低上述部分要求。"
26,数据分析工程师,分布式数据库高级测试开发工程师,25-45k·16薪,上海,经验不限-学历不限-测试开发-自动化测试,经验不限-学历不限-测试开发-自动化测试,某计算机软件公司,计算机软件-A轮-50-99人,上海,计算机软件-A轮-50-99人,"【岗位职责 】
• 负责公司分布式数据库产品质量体系建设。
• 设计和实现针对分布式数据库的自动化测试框架、测试工具和测试样例。研究和引入新的测试技术和方法，提高测试效率。
• 编写测试方案和测试计划，进行自动化测试，确保产品的可靠性，可用性，性能等符合设计要求。
• 负责质量流程建设，保持研发团队同步，共同推动产品质量提高。
【","岗位要求 】
• 三年以上开源或商业数据库产品测试开发经验。
• 熟悉Linux系统并精通至少一种脚本语言（如python, shell等)。
• 大学本科或以上学历，计算机相关专业或者计算机相关工作背景。
• 具备独立思考和解决复杂系统问题的能力，有创新性思维。
• 具有良好的沟通合作能力，高度的责任心，以及优秀的自我学习能力。"
27,数据分析工程师,数据分析岗,30-40k·13薪,杭州-上城区,3-5年-统招本科-数据分析-数据建模,3-5年-统招本科-数据分析-数据建模,某城市商业银行总行,银行-融资未公开-5000-10000人,杭州-上城区,银行-融资未公开-5000-10000人,"1.负责全行营销、风险、运营等数据分析模型，并持续评估和优化；  

2.负责基于数据分析得到有价值的业务信息，为全行运营决策、风险管理等提供有建设性的建议；  

3.负责数据指标体系建设，完善风险、营销类数据指标体系。 
","任职资格：

1.全日制本科及以上学历，统计学、应用数学、计算机等相关专业，2年以上从事软件开发工作经验；  

2.熟悉金融银行业务知识，在零售、对公、风险、运营等方面至少熟悉一项业务；  

3.具备熟悉分析与应用经验，能够将数据分析与银行业务场景相结合；  

4.熟悉掌握业务分析技术，具备业务分析、编写数据分析成果报告的能力；  

5.熟悉数据分析语言及工具如python、sql等。 
"
28,数据分析工程师,车云数据测试工程师,15-28k,重庆-沙坪坝区,5-10年-本科-压力测试-测试开发-性能测试-信号发生器-功能测试-示波器-自动化测试,5-10年-本科-压力测试-测试开发-性能测试-信号发生器-功能测试-示波器-自动化测试,重庆金康赛力斯新能源汽车设计院有限公司,整车制造-500-999人,重庆-沙坪坝区,整车制造-500-999人,"职责描述：
1、负责根据VHR技术方案，制定车端+云端的功能、性能、压力测试方案；
2、负责根据车联网技术方案、TBOX技术要求，制定无线通信测试方案；
3、负责告警监控、远程诊断、大数据准确性测试、云平台压力测试等专项测试能力开发；
4、负责具体车型VHR、国标数据上传、无线通信的测试牵头，需求评审、测试方案制定、用例设计维护和执行，以及问题定位分析、问题对接，问题上报和跟踪，并输出测试总结和测试报告；
5、牵头VHR和无线通信相关测试流程规范的制定；
6、牵头网联新技术研究，建立自动化测试能力。

","任职要求：
1、本科及以上学历，计算机科学与技术、电子与信息工程、自动化类相关专业，英语四级以上；
2、6年以上汽车电子电气架构测试或开发工作经验；
3、熟悉整车电气功能，精通车联网/OTA/智能座舱/车身控制/ADAS功能，有相关开发经验者优先；
4、熟悉车载以太网、CAN、LIN通信原理和UDS诊断协议；
5、精通CAN/LIN软件（如CANoe、CANSpy等）和工具（如示波器、信号发生器等）；至少精通一种通用变成语言（Python/C++/CAPL等）；
6、有过汽车电气系统测试试验室建设经验者优先；
7、良好的沟通和团队合作能力；
8、身心健康，作风正派，无任何纪律处分记录，具有良好的职业道德修养。"
29,数据分析工程师,数据分析副经理,18-25k·15薪,上海-松江区,5-10年-本科-数据分析-SQL,5-10年-本科-数据分析-SQL,晨光文具,食品/饮料/酒水-已上市-5000-10000人,上海-松江区,食品/饮料/酒水-已上市-5000-10000人,"【九木杂物社品牌】

岗位职责：
1、负责统筹全域运营数据体系、商品数据体系、用户数据体系等的建设，通过数据分析洞察业务，赋能业务场景应用和管理；
2、深刻理解业务场景，通过专项分析，梳理业务流程，找到业务问题点&机会点，建立指标体系，推动业务优化，并不断监控复盘；
3、对指标体系、流程搭建、数字系统化建设等项目的进行把控，以结果为导向快速推进项目上线并不断优化迭代；
4、根据公司战略，通过数据分析提供策略和战术方向，推动公司战略发展。

","任职要求：
1、本科及以上学历，五年及以上数据分析经验，有分析团队管理经验&项目管理经验优先；
2、熟练使用sql，熟悉1-2个数据分析工具；
3、良好的项目管理和团队协同沟通推动能力；
4、做事认真负责，有责任心，有良好的逻辑思维能力与沟通能力。"
30,数据分析工程师,信息技术部测试工程师-数据测试,7-12k,西安,5-10年-硕士-软件测试-兼容测试-安全测试-系统测试-自动化测试-性能测试,5-10年-硕士-软件测试-兼容测试-安全测试-系统测试-自动化测试-性能测试,西部证券,基金/证券/期货-沪深A股上市-2000-5000人,西安,基金/证券/期货-沪深A股上市-2000-5000人,"招聘人数：1人
工作地点：上海、西安
岗位职责：
1、计算机等相关专业研究生及以上学历，如具有同岗位或相似岗位3年以上工作经验的，可放宽至本科学历；
2、参与大数据系统测试以及质量保证工作；
3、负责根据产品需求，制定测试计划、编写用例、进行缺陷跟踪和质量分析；
4、负责软件各个阶段的测试，保证软件的安全性和可靠性；
5、负责协助开发工程师对所提BUG进行修改和验证，跟踪促进BUG解决；
6、与研发团队配合，优化流程，提升测试质量和效率。
","任职要求：
1、计算机等相关专业研究生及以上学历，如具有同岗位或相似岗位3年以上工作经验的，可放宽至本科学历具备互联网或金融行业测试团队工作经验；
2、具备3年以上测试相关工作经验，了解自动化测试、性能测试、安全测试、兼容性测试；
3、熟悉软件测试方法和流程，精通至少一种测试工具或管理系统（JIRA/禅道/TADP等）；熟悉测试案例编写、执行和评审；
4、有多为测试分析能力，熟练掌握数据测试方法；
5、熟练使用SQL，掌握Python、Scala、R、SAS中的一种编程语言；
6、有Hadoop、Hive、BI工具测试经验者优先；
7、有较强的协调、沟通、学习、培训能力，良好的决策能力和分析能力；
8、具有证券从业资格优先考虑。"
31,数据分析工程师,数据分析专家,40-60k·14薪,北京-顺义区,5-10年-本科-数据分析-数据挖掘-数据可视化-数据建模-Hive-数据开发-SQL-Python,5-10年-本科-数据分析-数据挖掘-数据可视化-数据建模-Hive-数据开发-SQL-Python,理想汽车,整车制造-美股上市-10000人以上,北京-顺义区,整车制造-美股上市-10000人以上,"岗位职责：
1. 主动识别行政业务问题，主导专项分析，通过数据研究和分析，改善和提升业务效果；分析用户行为数据，构建模型，输出用户分析报告。
2. 依据行政业务需求，基于BI工具负责报表类、数据填报类、大屏可视化等前端需求开发。
3. 规划和完善行政部门数据平台的数据管理体系，并基于业务场景和需求构建和完善数据仓库体系 。
4. 能够独立推动数据分析项目，为业务提供数据支持与策略建议，支持业务达成业务指标。 

","任职资格：
1. 本科及以上学历，5年以上数据分析、数据挖掘等相关工作经验，主导过0-1产品的数据建设，有团队管理经验优先。 
2. 有丰富的数据仓库设计和数据建模经验，有完整指标体系搭建经验的优先。
3. 对数据敏感，熟悉各类数据分析方法，熟悉一种以上开源或商业的BI工具(例如Tableau等)，有报表、可视化设计和开发经验。
4. 熟练使用SQL/HIVE/Python/Excel，掌握常用SQL基础函数，有数据查询调优能力。
5. 有数据可视化相关项目设计经历，有综合大屏开发经验者优先。
6. 具备较强的业务理解能力、数据分析思维、优秀的沟通协调能力及团队合作精神。"
32,数据分析工程师,资深大数据测试工程师,18-26k·13薪,杭州,5-10年-统招本科-自动化测试-大数据测试-性能测试,5-10年-统招本科-自动化测试-大数据测试-性能测试,火石创造,人工智能-B轮-100-499人,杭州,人工智能-B轮-100-499人,"岗位职责：
1、负责公司产品的功能、自动化、性能、安全及数据流程测试
2、负责数据处理流程的数据测试及执行、基础数据质量的自动化检查、打标及指标计算的数据测试
3、结合项目中的数据问题，分析数仓的数据质量问题并制定相应的测试策略

","岗位要求：
1、计算机专业本科以上学历，具备5年以上测试经验
2、精通python或java，能够代码自动化实现测试需求，过去做过开发的同学优先
3、精通SQL，熟悉主流非关系型及关系型数据库
4、有大数据测试中台经验优先
5、有测开经验优先"
