序号,岗位类别,岗位名称,薪酬,地点,学历要求,经验要求,企业名称,企业规模,所属地域,所属行业,岗位职责,岗位要求
11,导航技术工程师,高级SLAM算法工程师,25-50k·16薪,武汉-江夏区,1-3年-硕士-优化算法-算法优化-SLAM算法-SA算法-算法设计-算法研究,1-3年-硕士-优化算法-算法优化-SLAM算法-SA算法-算法设计-算法研究,上海华测导航技术股份有限公司,电子/半导体/集成电路-已上市-1000-2000人,武汉-江夏区,电子/半导体/集成电路-已上市-1000-2000人,"职责描述：
1）SLAM研发团队PL，整体负责多源融合SLAM的产品研发；
2）对接市场需求，组织调研分析竞品指标，制定产品技术研发路线与里程碑；
3）负责核心关键算法与整体框架优化，提升SLAM产品在精度、效率以及场景适应能力的竞争力；
4）负责开发任务的分解以及进度的把控，总体负责产品研发推进；
5）整体负责开发资源的合理配置，把控产品关键技术，保障产品的市场竞争力；


","任职要求：
1）年龄30~35岁，具有优秀从业经验者可适当放宽，具有一定的SLAM算法或产品研发团队的管理经验；
2）熟练掌握Linux，ROS系统，理解ROS的通信机制以及开发过程；
3）对GNSS、激光、视觉、IMU等多源传感器融合的SLAM具有3年以上相关开发经验，理解多源融合SLAM的方法原理；
4）熟练掌握多源融合因子图或EKF等核心算法，并具备不同场景下的融合算法优化能力；
5）具有丰富的SLAM系统工程化经验，熟悉SLAM系统的硬软件架构，具备在不同架构上的算法设计与工程优化能力；
具有Cartographer、LIO-SAM、FAST-LIO、LOAM等开源框架的调试与优化经验，熟悉SLAM系统的里程计与后端优化关键前沿算法；"
12,导航技术工程师,高级SLAM算法工程师,30-40k·16薪,武汉-江夏区,3-5年-硕士-算法优化-优化算法-SA算法-SLAM算法-算法研究-算法设计,3-5年-硕士-算法优化-优化算法-SA算法-SLAM算法-算法研究-算法设计,上海华测导航技术股份有限公司,电子/半导体/集成电路-已上市-1000-2000人,武汉-江夏区,电子/半导体/集成电路-已上市-1000-2000人,"岗位职责：
1.SLAM研发团队PL，整体负责多源融合SLAM的产品研发； 
2.对接市场需求，组织调研分析竞品指标，制定产品技术研发路线与里程碑；
3.负责核心关键算法与整体框架优化，提升SLAM产品在精度、效率以及场景适应能力的竞争力；
4.负责开发任务的分解以及进度的把控，总体负责产品研发推进； 
5.整体负责开发资源的合理配置，把控产品关键技术，保障产品的市场竞争力；
","任职要求：
1.硕士及以上学历，具有优秀从业经验者可适当放宽，具有一定的SLAM算法或产品研发团队的管理经验；
2.熟练掌握Linux，ROS系统，理解ROS的通信机制以及开发过程；
3.对GNSS、激光、视觉、IMU等多源传感器融合的SLAM具有3年以上相关开发经验，理解多源融合SLAM的方法原理；
4.熟练掌握多源融合因子图或EKF等核心算法，并具备不同场景下的融合算法优化能力；
5.具有丰富的SLAM系统工程化经验，熟悉SLAM系统的硬软件架构，具备在不同架构上的算法设计与工程优化能力；具有Cartographer、LIO-SAM、FAST-LIO、LOAM等开源框架的调试与优化经验，熟悉SLAM系统的里程计与后端优化关键前沿算法；
"
13,导航技术工程师,高级SLAM算法工程师(J11069),30-50k·16薪,武汉-江夏区,3-5年-硕士-框架开发-框架设计-Linux,3-5年-硕士-框架开发-框架设计-Linux,上海华测导航技术股份有限公司,电子/半导体/集成电路-已上市-1000-2000人,武汉-江夏区,电子/半导体/集成电路-已上市-1000-2000人,"工作职责:
1）SLAM研发团队PL，整体负责多源融合SLAM的产品研发； 2）对接市场需求，组织调研分析竞品指标，制定产品技术研发路线与里程碑； 3）负责核心关键算法与整体框架优化，提升SLAM产品在精度、效率以及场景适应能力的竞争力； 4）负责开发任务的分解以及进度的把控，总体负责产品研发推进； 5）整体负责开发资源的合理配置，把控产品关键技术，保障产品的市场竞争力；
","任职资格:
1）年龄30~35岁，具有优秀从业经验者可适当放宽，具有一定的SLAM算法或产品研发团队的管理经验； 2）熟练掌握Linux，ROS系统，理解ROS的通信机制以及开发过程； 3）对GNSS、激光、视觉、IMU等多源传感器融合的SLAM具有3年以上相关开发经验，理解多源融合SLAM的方法原理； 4）熟练掌握多源融合因子图或EKF等核心算法，并具备不同场景下的融合算法优化能力； 5）具有丰富的SLAM系统工程化经验，熟悉SLAM系统的硬软件架构，具备在不同架构上的算法设计与工程优化能力；具有Cartographer、LIO-SAM、FAST-LIO、LOAM等开源框架的调试与优化经验，熟悉SLAM系统的里程计与后端优化关键前沿算法；"
14,导航技术工程师,slam算法负责人,40-60k·15薪,苏州-吴中区,5-10年-本科-定位算法-SLAM算法-SA算法-算法开发-视觉定位-算法研究-算法设计-算法优化-优化算法-C语言,5-10年-本科-定位算法-SLAM算法-SA算法-算法开发-视觉定位-算法研究-算法设计-算法优化-优化算法-C语言,广东德尔玛科技股份有限公司,家电-B轮-2000-5000人,苏州-吴中区,家电-B轮-2000-5000人,,
15,导航技术工程师,SLAM导航算法工程师,20-30k·14薪,武汉,3-5年-硕士-算法研究-SA算法-SLAM算法-激光雷达-算法开发,3-5年-硕士-算法研究-SA算法-SLAM算法-激光雷达-算法开发,某国内电气机械/器材上市公司,电气机械/器材-已上市-1000-2000人,武汉,电气机械/器材-已上市-1000-2000人,"工作职责:
1、机器人在室内及室外环境中的地图构建和SLAM算法；
2、使用的传感器包括激光雷达、深度相机、IMU等多传感器融合算法研发；
3、机器人的导航定位、路径规划、地图重建算法；
4、负责SLAM算法的优化，移植和产品化；
5、从事视觉SFM，SLAM，多传感器融合等前沿算法研究和应用开发。
","任职资格:
1、研究生及以上学历，5年以上工作经验或3年以上slam相关经验，计算机、数学、电子通信类相关专业，扎实的数学功底；
2、具备基于二维、三维激光点云的SLAM研发经验；
3、熟悉常用开源激光SLAM项目如：Cartographer、Gmapping等。
4、熟悉ROS，有扎实的SLAM、非线性优化、概率滤波理论基础；
5、具有多传感器融合的机器人slam导航相关经验者优先；
6、能够独立完成基于ROS的机器人控制软件设计者优先；"
16,导航技术工程师,SLAM导航算法工程师,15-30k,武汉,5-10年-硕士-算法研究-SLAM算法-SA算法-激光雷达-算法开发,5-10年-硕士-算法研究-SLAM算法-SA算法-激光雷达-算法开发,某武汉人工智能公司,人工智能-融资未公开-100-499人,武汉,人工智能-融资未公开-100-499人,"工作职责:
1、机器人在室内及室外环境中的地图构建和SLAM算法；
2、使用的传感器包括激光雷达、深度相机、IMU等多传感器融合算法研发；
3、机器人的导航定位、路径规划、地图重建算法；
4、负责SLAM算法的优化，移植和产品化；
5、从事视觉SFM，SLAM，多传感器融合等前沿算法研究和应用开发。
","任职资格:
1、研究生及以上学历，5年以上工作经验或3年以上slam相关经验，计算机、数学、电子通信类相关专业，扎实的数学功底；
2、具备基于二维、三维激光点云的SLAM研发经验；
3、熟悉常用开源激光SLAM项目如：Cartographer、Gmapping等。
4、熟悉ROS，有扎实的SLAM、非线性优化、概率滤波理论基础；
5、具有多传感器融合的机器人slam导航相关经验者优先；
6、能够独立完成基于ROS的机器人控制软件设计者优先；
"
17,导航技术工程师,SLAM导航算法工程师,20-30k,武汉,3-5年-统招本科-SLAM算法-算法开发-定位算法-成像算法,3-5年-统招本科-SLAM算法-算法开发-定位算法-成像算法,某苏州培训服务公司,培训服务-50-99人,武汉,培训服务-50-99人,"工作职责:
1、机器人在室内及室外环境中的地图构建和SLAM算法；
2、使用的传感器包括激光雷达、深度相机、IMU等多传感器融合算法研发；
3、机器人的导航定位、路径规划、地图重建算法；
4、负责SLAM算法的优化，移植和产品化；
5、从事视觉SFM，SLAM，多传感器融合等前沿算法研究和应用开发。
","任职资格:
1、研究生及以上学历，5年以上工作经验或3年以上slam相关经验，计算机、数学、电子通信类相关专业，扎实的数学功底；
2、具备基于二维、三维激光点云的SLAM研发经验；
3、熟悉常用开源激光SLAM项目如：Cartographer、Gmapping等。
4、熟悉ROS，有扎实的SLAM、非线性优化、概率滤波理论基础；
5、具有多传感器融合的机器人slam导航相关经验者优先；
6、能够独立完成基于ROS的机器人控制软件设计者优先；"
18,导航技术工程师,SLAM导航算法工程师,20-30k,武汉,3-5年-硕士-算法研究-SLAM算法-SA算法-激光雷达-算法开发,3-5年-硕士-算法研究-SLAM算法-SA算法-激光雷达-算法开发,某武汉人工智能公司,人工智能-融资未公开-100-499人,武汉,人工智能-融资未公开-100-499人,"1、机器人在室内及室外环境中的地图构建和SLAM算法；
2、使用的传感器包括激光雷达、深度相机、IMU等多传感器融合算法研发；
3、机器人的导航定位、路径规划、地图重建算法；
4、负责SLAM算法的优化，移植和产品化；
5、从事视觉SFM，SLAM，多传感器融合等前沿算法研究和应用开发。
","任职资格:
1、研究生及以上学历，5年以上工作经验或3年以上slam相关经验，计算机、数学、电子通信类相关专业，扎实的数学功底；
2、具备基于二维、三维激光点云的SLAM研发经验；
3、熟悉常用开源激光SLAM项目如：Cartographer、Gmapping等。
4、熟悉ROS，有扎实的SLAM、非线性优化、概率滤波理论基础；
5、具有多传感器融合的机器人slam导航相关经验者优先；
6、能够独立完成基于ROS的机器人控制软件设计者优先；
"
19,导航技术工程师,SLAM导航算法工程师（导航、定位、路径规划）,15-30k,武汉,3-5年-统招本科-算法研究-SLAM算法-SA算法-激光雷达-算法开发,3-5年-统招本科-算法研究-SLAM算法-SA算法-激光雷达-算法开发,某北京计算机软件公司,计算机软件-A轮-100-499人,武汉,计算机软件-A轮-100-499人,"工作职责:
1、机器人在室内及室外环境中的地图构建和SLAM算法；
2、使用的传感器包括激光雷达、深度相机、IMU等多传感器融合算法研发；
3、机器人的导航定位、路径规划、地图重建算法；
4、负责SLAM算法的优化，移植和产品化；
5、从事视觉SFM，SLAM，多传感器融合等前沿算法研究和应用开发。

","任职资格:
1、研究生及以上学历，5年以上工作经验或3年以上slam相关经验，计算机、数学、电子通信类相关专业，扎实的数学功底；
2、具备基于二维、三维激光点云的SLAM研发经验；
3、熟悉常用开源激光SLAM项目如：Cartographer、Gmapping等。
4、熟悉ROS，有扎实的SLAM、非线性优化、概率滤波理论基础；
5、具有多传感器融合的机器人slam导航相关经验者优先；
6、能够独立完成基于ROS的机器人控制软件设计者优先；"
20,导航技术工程师,SLAM算法工程师,20-50k,杭州-余杭区,3-5年-硕士-SLAM算法-OpenCV,3-5年-硕士-SLAM算法-OpenCV,杭州以诺行汽车科技股份有限公司,汽车交易/后市场-A轮-100-499人,杭州-余杭区,汽车交易/后市场-A轮-100-499人,"1、负责公司设备六自由度姿态检测算法，确定技术方案、开展数据采集、分析、算法开发和测试，与团队一起在SLAM领域开展开创性的技术应用探索，与工程技术团队共同实现技术落地
2、评测SLAM算法，并提出相关优化指标的改进方案
3、研发基于视觉或测距(超声波、短距离激光、红外测距）+IMU等多传感器融合SLAM算法和实施
","任职要求：
1、3-5年工作经验，研究生及以上学历，熟悉数字图像处理相关算法，具备图像处理算法的研发及实现能力；
2、了解主流SLAM软硬件方案，掌握SLAM基础理论和算法
3、有SLAM的实施经验
4、熟悉IMU传感器，有3DOF或6DOF实战开发经验
5、有相机或者短距离测距仪（超声波、激光、红外）和IMU多传感器融合开发经验
6、熟练掌握C/C++或python语言和linux系统，有实际项目经验；
7、良好的团队精神和沟通能力，很强的逻辑思维能力和学习能力；
8、有AR/VR，3D视觉等相关领域经验优先；

Slam算法工程师

岗位职责：
1. 负责SLAM（Simultaneous Localization and Mapping）相关技术的研发，包括但不限于激光雷达、摄像头等传感器数据融合；
2. 针对不同场景下的定位与建图需求进行技术优化及实现方案； 
3. 与团队成员合作开发高性能的实时系统。 

"
21,导航技术工程师,算法工程师（SLAM方向）,40-60k·14薪,北京-海淀区,3-5年-硕士-SLAM算法-C++-激光雷达-自动驾驶,3-5年-硕士-SLAM算法-C++-激光雷达-自动驾驶,探维科技,智能硬件-A轮-100-499人,北京-海淀区,智能硬件-A轮-100-499人,"1、数据处理与特征提取：负责从雷达获取原始点云数据的预处理，如滤波、噪声消除；并进行地面分割、障碍物检测以及帧间数据关联。
2、SLAM核心算法开发：设计并实施位姿估计、地图构建、回环检测等关键技术，保证SLAM系统的实时性和精准性。
3、整车标定与验证：定义与执行激光雷达与其他传感器间的标定流程和工具，确保整体系统性能。
4、软硬件集成与优化：针对特定硬件平台进行算法优化，保证性能和实时性。
5、客户解决方案定制：根据客户需求开发和调优SLAM解决方案，保证其在特定应用场景中的性能。
6、实车测试与实际应用验证：设计实车测试场景，进行道路测试，确保算法在真实环境下的稳定性。
7、技术文档与沟通：编写技术文档、指导书籍，并与团队及客户进行有效的技术交流。
8、技术趋势跟踪与更新：持续监控SLAM和激光雷达领域的新进展，引入创新技术以提升系统性能。
","任职要求：
1、统招硕士及以上，计算机、自动化、通信工程、电子信息等相关专业； 
2、熟练使用C/C++，Python，有ROS开发经验者优先。
3、熟练使用至少一种SLAM相关的工具或库r等。
4、具备激光雷达数据处理和解析能力，有嵌入式平台上SLAM算法部署经验。
5、能够与团队紧密合作，有跨部门沟通和协同工作的经验，如与硬件工程师、产品经理等。
6、能够理解并满足客户的技术需求，具有从概念到产品实现的完整开发经验。
7、跟踪最新的技术趋势和研究进展，具有良好的学习和研究能力，对新技术和方法保持开放的态度。
8、具有3年以上SLAM算法开发经验，熟悉常见的SLAM框架和算法。
9、有较强的进行代码调试和解决技术问题的能力；
10、具有较强知识迁移能力和逻辑思维能力、沟通能力，团队协作意识强。"
22,导航技术工程师,slam算法/研发工程师,35-65k·14薪,杭州-滨江区,3-5年-本科-SA算法-Raft-SLAM算法-激光雷达-算法研究-R语言,3-5年-本科-SA算法-Raft-SLAM算法-激光雷达-算法研究-R语言,汉特斯众(厦门)信息科技有限公司,IT/互联网/游戏-1-49人,杭州-滨江区,IT/互联网/游戏-1-49人,"
1.激光SLAM：负责以三维激光雷达为主,相机、IMU等传感器信息融合的SLAM算法研究；
2.熟悉或者对SLAM行业的发展现状和趋势进行调研，负责新技术的引入和技术预研；
3.负责各产品运行中出现的SLAM相关问题的定位、分析和解决；
4.负责相关算法的测试、优化和产品化等相关工作；

","岗位要求
1.硕士及以上学历， 条件优异者，学历可放宽至本科；
2.了解掌握SLAM的基础理论和算法，熟悉视觉/激光领域stateoftheart算法，熟悉SLAM常用传感器的硬件特性。
 
加分项：
 熟悉SLAM的基础理论和算法；熟悉三维激光SLAM框架 ；有ROS开发经验 ；

   "
23,导航技术工程师,SLAM导航算法工程师,15-30k,武汉,经验不限-统招本科-自动驾驶-SLAM算法,经验不限-统招本科-自动驾驶-SLAM算法,某北京计算机软件公司,计算机软件-A轮-100-499人,武汉,计算机软件-A轮-100-499人,"1、机器人在室内及室外环境中的地图构建和SLAM算法；
2、使用的传感器包括激光雷达、深度相机、IMU等多传感器融合算法研发；
3、机器人的导航定位、路径规划、地图重建算法；
4、负责SLAM算法的优化，移植和产品化；
5、从事视觉SFM，SLAM，多传感器融合等前沿算法研究和应用开发。
","任职资格:
1、研究生及以上学历，5年以上工作经验或3年以上slam相关经验，计算机、数学、电子通信类相关专业，扎实的数学功底；
2、具备基于二维、三维激光点云的SLAM研发经验；
3、熟悉常用开源激光SLAM项目如：Cartographer、Gmapping等。
4、熟悉ROS，有扎实的SLAM、非线性优化、概率滤波理论基础；
5、具有多传感器融合的机器人slam导航相关经验者优先；
6、能够独立完成基于ROS的机器人控制软件设计者优先；
客户信息"
24,导航技术工程师,激光SLAM算法工程师,20-35k,武汉,3-5年-统招本科-算法研究-SLAM算法-SA算法-激光雷达-算法开发,3-5年-统招本科-算法研究-SLAM算法-SA算法-激光雷达-算法开发,某武汉人工智能公司,人工智能-融资未公开-100-499人,武汉,人工智能-融资未公开-100-499人,"工作职责:
1、机器人在室内及室外环境中的地图构建和SLAM算法；
2、使用的传感器包括激光雷达、深度相机、IMU等多传感器融合算法研发；
3、机器人的导航定位、路径规划、地图重建算法；
4、负责SLAM算法的优化，移植和产品化；
5、从事视觉SFM，SLAM，多传感器融合等前沿算法研究和应用开发。
","任职资格:
1、5年以上工作经验或3年以上slam相关经验，计算机、数学、电子通信类相关专业，扎实的数学功底；
2、具备基于二维、三维激光点云的SLAM研发经验；
3、熟悉常用开源激光SLAM项目如：Cartographer、Gmapping等。
4、熟悉ROS，有扎实的SLAM、非线性优化、概率滤波理论基础；
5、具有多传感器融合的机器人slam导航相关经验；
6、能够独立完成基于ROS的机器人控制软件设计。"
